experiment,net,kind,algorithm,feature_augmentation,data_augmentation,hair_removal,segmentation,model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,1.0,0.8556220891550232,0.7453224517089024,0.7209470869299291,0.729021578415038
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,2.0,0.8409846972721224,0.7416305053854831,0.7215793942022221,0.7297245183878011
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,3.0,0.8409846972721224,0.7409754117530598,0.7032086947007213,0.7202012199752507
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,4.0,0.8476380572188955,0.7228570462072141,0.7079437089460209,0.7143672000679766
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,5.0,0.833666001330672,0.7105229069112431,0.696570238198251,0.7023494199242163
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,6.0,0.8256819693945442,0.7176801801201164,0.6625384244711334,0.6818295337792023
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,7.0,0.8403193612774451,0.7263473869061146,0.7115589446102003,0.7169949506557275
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,8.0,0.8330006653359947,0.7081716393109806,0.7160406030141833,0.710979516221046
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,9.0,0.8356620093147039,0.7064557567782008,0.6998331883958525,0.7010390424417086
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,10.0,0.8310046573519627,0.6940203393628629,0.6867601685292603,0.6894921947395689
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,1.0,0.8962075848303394,0.8555393326498576,0.8107307132416335,0.8312602260268236
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,2.0,0.89354624085163,0.8519178029153496,0.8095186189007945,0.8286196778747966
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,3.0,0.8908848968729208,0.8406561200848044,0.8023823382527612,0.8197798711826915
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,4.0,0.8982035928143712,0.8888786229030242,0.8294501485513232,0.8567959623264153
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,5.0,0.8922155688622755,0.8601789153198448,0.7972835960542904,0.8250474343233261
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,6.0,0.8902195608782435,0.8650639043496187,0.8141662736389007,0.8374449198240665
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,7.0,0.8888888888888888,0.8553552624321679,0.8197984744249063,0.8362199936565283
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,8.0,0.8968729208250167,0.8575717945205661,0.8290959010369414,0.8417758114661359
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,9.0,0.9015302727877578,0.852350254793444,0.8226026616415297,0.8354937547473451
cnn_classifier_ResNet_use_augmentation_,Resnet,classifier,,False,False,False,False,10.0,0.8975382568196939,0.8668924196797096,0.8188870934514078,0.8415177403547759
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,1.0,0.8729208250166334,0.8401195143592463,0.7715060973543547,0.8028167161800643
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,2.0,0.8789088489687292,0.841821256594257,0.7813730158581782,0.8083886196329574
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,3.0,0.863606121091151,0.8123898396747554,0.7312809252105622,0.7661178048770398
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,4.0,0.8769128409846972,0.8254237876503259,0.7580230526985148,0.788608044904921
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,5.0,0.8669328010645376,0.816493219344002,0.7640999833074178,0.7853503524681811
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,6.0,0.8769128409846972,0.8321175595985935,0.7726301927066702,0.7988430593098853
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,7.0,0.8729208250166334,0.8099652039355936,0.7920803586568299,0.7996831798497466
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,8.0,0.8735861610113107,0.8220207880390803,0.7714826242493901,0.7950459625150292
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,9.0,0.8715901530272788,0.819495465049353,0.7923068452823251,0.804880687291165
cnn_classifier_VGG19_use_augmentation_,Vgg19,classifier,,False,False,False,False,10.0,0.8795741849634066,0.8192873509859572,0.7987053042942119,0.8072014150085213
cnn_classifier_Xception_use_augmentation_,Xception,classifier,,False,False,False,False,1.0,0.8915502328675982,0.847786769024328,0.8188444167710864,0.8320212129210783
cnn_classifier_Xception_use_augmentation_,Xception,classifier,,False,False,False,False,2.0,0.9008649367930806,0.8730790279603676,0.8539532582514878,0.8629754018338577
