experiment,net,kind,algorithm,feature_augmentation,data_augmentation,hair_removal,segmentation,class,model_idx,class_idx,class_name,precision,recall,f1_score,support
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,0,1,0,akiec,0.7333333333333333,0.673469387755102,0.7021276595744681,49.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,1,1,1,bcc,0.6951219512195121,0.7402597402597403,0.7169811320754716,77.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,2,1,2,bkl,0.740506329113924,0.7090909090909091,0.7244582043343654,165.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,3,1,3,df,0.6666666666666666,0.4705882352941176,0.5517241379310345,17.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,4,1,4,mel,0.6944444444444444,0.5988023952095808,0.6430868167202572,167.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,5,1,5,nv,0.917953667953668,0.9453280318091452,0.931439764936337,1006.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,6,1,6,vasc,0.7692307692307693,0.9090909090909092,0.8333333333333334,22.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,7,2,0,akiec,0.7435897435897436,0.5918367346938775,0.6590909090909091,49.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,8,2,1,bcc,0.6976744186046512,0.7792207792207793,0.7361963190184049,77.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,9,2,2,bkl,0.6923076923076923,0.7090909090909091,0.7005988023952096,165.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,10,2,3,df,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,11,2,4,mel,0.6266666666666667,0.562874251497006,0.5930599369085173,167.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,12,2,5,nv,0.9157688540646424,0.9294234592445328,0.922545633941786,1006.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,13,2,6,vasc,0.8095238095238095,0.7727272727272727,0.7906976744186046,22.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,14,3,0,akiec,0.6739130434782609,0.6326530612244898,0.6526315789473685,49.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,15,3,1,bcc,0.7714285714285715,0.7012987012987013,0.7346938775510204,77.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,16,3,2,bkl,0.7017543859649122,0.7272727272727273,0.7142857142857143,165.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,17,3,3,df,0.5555555555555556,0.5882352941176471,0.5714285714285714,17.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,18,3,4,mel,0.6291390728476821,0.5688622754491018,0.5974842767295597,167.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,19,3,5,nv,0.9105928085519922,0.9314115308151092,0.9208845208845208,1006.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,20,3,6,vasc,0.9444444444444444,0.7727272727272727,0.85,22.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,21,4,0,akiec,0.6304347826086957,0.5918367346938775,0.6105263157894737,49.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,22,4,1,bcc,0.725,0.7532467532467533,0.7388535031847133,77.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,23,4,2,bkl,0.75,0.6909090909090909,0.7192429022082019,165.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,24,4,3,df,0.5882352941176471,0.5882352941176471,0.5882352941176471,17.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,25,4,4,mel,0.6737588652482269,0.5688622754491018,0.6168831168831169,167.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,26,4,5,nv,0.9099616858237548,0.9443339960238568,0.926829268292683,1006.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,27,4,6,vasc,0.782608695652174,0.8181818181818182,0.8,22.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,28,5,0,akiec,0.6428571428571429,0.5510204081632653,0.5934065934065934,49.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,29,5,1,bcc,0.627906976744186,0.7012987012987013,0.6625766871165644,77.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,30,5,2,bkl,0.6918238993710691,0.6666666666666666,0.6790123456790124,165.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,31,5,3,df,0.6111111111111112,0.6470588235294118,0.6285714285714286,17.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,32,5,4,mel,0.6335403726708074,0.6107784431137725,0.6219512195121951,167.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,33,5,5,nv,0.9164208456243854,0.926441351888668,0.921403855659911,1006.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,34,5,6,vasc,0.85,0.7727272727272727,0.8095238095238095,22.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,35,6,0,akiec,0.5471698113207547,0.5918367346938775,0.5686274509803921,49.0
cnn_classifier_Inception_use_augmentation_,Inception,classifier,,False,False,False,False,36,6,1,bcc,0.6705882352941176,0.7402597402597403,0.7037037037037037,77.0
