model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8556220891550232,0.7453224517089024,0.7209470869299291,0.729021578415038
2,0.8409846972721224,0.7416305053854831,0.7215793942022221,0.7297245183878011
3,0.8409846972721224,0.7409754117530598,0.7032086947007213,0.7202012199752507
4,0.8476380572188955,0.7228570462072141,0.7079437089460209,0.7143672000679766
5,0.833666001330672,0.7105229069112431,0.696570238198251,0.7023494199242163
6,0.8256819693945442,0.7176801801201164,0.6625384244711334,0.6818295337792023
7,0.8403193612774451,0.7263473869061146,0.7115589446102003,0.7169949506557275
8,0.8330006653359947,0.7081716393109806,0.7160406030141833,0.710979516221046
9,0.8356620093147039,0.7064557567782008,0.6998331883958525,0.7010390424417086
10,0.8310046573519627,0.6940203393628629,0.6867601685292603,0.6894921947395689
