model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8729208250166334,0.8401195143592463,0.7715060973543547,0.8028167161800643
2,0.8789088489687292,0.841821256594257,0.7813730158581782,0.8083886196329574
3,0.863606121091151,0.8123898396747554,0.7312809252105622,0.7661178048770398
4,0.8769128409846972,0.8254237876503259,0.7580230526985148,0.788608044904921
5,0.8669328010645376,0.816493219344002,0.7640999833074178,0.7853503524681811
6,0.8769128409846972,0.8321175595985935,0.7726301927066702,0.7988430593098853
7,0.8729208250166334,0.8099652039355936,0.7920803586568299,0.7996831798497466
8,0.8735861610113107,0.8220207880390803,0.7714826242493901,0.7950459625150292
9,0.8715901530272788,0.819495465049353,0.7923068452823251,0.804880687291165
10,0.8795741849634066,0.8192873509859572,0.7987053042942119,0.8072014150085213
