model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.8222222222222222,0.7551020408163265,0.7872340425531915,49.0
1,1,bcc,0.8695652173913043,0.7792207792207793,0.821917808219178,77.0
1,2,bkl,0.7635135135135135,0.6848484848484848,0.7220447284345048,165.0
1,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
1,4,mel,0.7596899224806202,0.5868263473053892,0.6621621621621622,167.0
1,5,nv,0.9033457249070632,0.9662027833001988,0.9337175792507204,1006.0
1,6,vasc,0.95,0.8636363636363636,0.9047619047619048,22.0
2,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
2,1,bcc,0.8714285714285714,0.7922077922077922,0.8299319727891157,77.0
2,2,bkl,0.7818181818181819,0.7818181818181819,0.7818181818181819,165.0
2,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
2,4,mel,0.6967741935483871,0.6467065868263473,0.6708074534161491,167.0
2,5,nv,0.9271844660194175,0.9493041749502982,0.9381139489194499,1006.0
2,6,vasc,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
3,0,akiec,0.8,0.7346938775510204,0.7659574468085106,49.0
3,1,bcc,0.8026315789473685,0.7922077922077922,0.7973856209150327,77.0
3,2,bkl,0.7755102040816326,0.6909090909090909,0.7307692307692307,165.0
3,3,df,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
3,4,mel,0.6855345911949685,0.6526946107784432,0.6687116564417178,167.0
3,5,nv,0.9101338432122371,0.9463220675944334,0.9278752436647173,1006.0
3,6,vasc,0.8947368421052632,0.7727272727272727,0.8292682926829268,22.0
4,0,akiec,0.8260869565217391,0.7755102040816326,0.8,49.0
4,1,bcc,0.8507462686567164,0.7402597402597403,0.7916666666666666,77.0
4,2,bkl,0.7283236994219653,0.7636363636363637,0.7455621301775148,165.0
4,3,df,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
4,4,mel,0.7124183006535948,0.6526946107784432,0.68125,167.0
4,5,nv,0.9302325581395349,0.9542743538767395,0.9421000981354269,1006.0
4,6,vasc,0.9444444444444444,0.7727272727272727,0.85,22.0
5,0,akiec,0.7,0.7142857142857143,0.7070707070707071,49.0
5,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
5,2,bkl,0.7365269461077845,0.7454545454545455,0.7409638554216867,165.0
5,3,df,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
5,4,mel,0.7083333333333334,0.6107784431137725,0.6559485530546624,167.0
5,5,nv,0.9173871277617676,0.9493041749502982,0.9330727894479727,1006.0
5,6,vasc,0.875,0.9545454545454546,0.9130434782608695,22.0
6,0,akiec,0.7708333333333334,0.7551020408163265,0.7628865979381443,49.0
6,1,bcc,0.8571428571428571,0.7792207792207793,0.8163265306122449,77.0
6,2,bkl,0.7852760736196319,0.7757575757575758,0.7804878048780488,165.0
6,3,df,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
6,4,mel,0.7032258064516129,0.6526946107784432,0.6770186335403726,167.0
6,5,nv,0.9226305609284333,0.94831013916501,0.9352941176470588,1006.0
6,6,vasc,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
7,0,akiec,0.7346938775510204,0.7346938775510204,0.7346938775510204,49.0
7,1,bcc,0.8235294117647058,0.7272727272727273,0.7724137931034483,77.0
7,2,bkl,0.7426900584795322,0.7696969696969697,0.7559523809523809,165.0
7,3,df,0.8,0.7058823529411765,0.75,17.0
7,4,mel,0.7254901960784313,0.6646706586826348,0.69375,167.0
7,5,nv,0.9266862170087976,0.9423459244532804,0.9344504682109414,1006.0
7,6,vasc,0.9166666666666666,1.0,0.9565217391304348,22.0
8,0,akiec,0.6938775510204082,0.6938775510204082,0.6938775510204082,49.0
8,1,bcc,0.8243243243243243,0.7922077922077922,0.8079470198675497,77.0
8,2,bkl,0.7615894039735099,0.696969696969697,0.7278481012658228,165.0
8,3,df,0.8666666666666667,0.7647058823529411,0.8125,17.0
8,4,mel,0.7394366197183099,0.6287425149700598,0.6796116504854369,167.0
8,5,nv,0.9182509505703422,0.9602385685884692,0.9387755102040817,1006.0
8,6,vasc,0.95,0.8636363636363636,0.9047619047619048,22.0
9,0,akiec,0.7608695652173914,0.7142857142857143,0.7368421052631579,49.0
9,1,bcc,0.7654320987654321,0.8051948051948052,0.7848101265822784,77.0
9,2,bkl,0.8,0.703030303030303,0.7483870967741936,165.0
9,3,df,0.875,0.8235294117647058,0.8484848484848485,17.0
9,4,mel,0.7086092715231788,0.6407185628742516,0.6729559748427673,167.0
9,5,nv,0.9174664107485605,0.9502982107355865,0.93359375,1006.0
9,6,vasc,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
10,0,akiec,0.8636363636363636,0.7755102040816326,0.8172043010752689,49.0
10,1,bcc,0.8378378378378378,0.8051948051948052,0.8211920529801324,77.0
10,2,bkl,0.7804878048780488,0.7757575757575758,0.7781155015197568,165.0
10,3,df,0.75,0.7058823529411765,0.7272727272727273,17.0
10,4,mel,0.7428571428571429,0.6227544910179641,0.6775244299674267,167.0
10,5,nv,0.9201923076923076,0.9512922465208747,0.9354838709677419,1006.0
10,6,vasc,0.84,0.9545454545454546,0.8936170212765957,22.0
