model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8356620093147039,0.7581740226066588,0.6781298413070574,0.7140900705361001
2,0.8356620093147039,0.7557545183849338,0.6609947004476965,0.7022876327926406
3,0.8369926813040586,0.7563786038028277,0.6720276363127897,0.709701784822153
4,0.8349966733200266,0.7355327219140853,0.6614858614754546,0.6947170669208942
5,0.8363273453093812,0.7418369829040365,0.6710913922576468,0.7029575796406032
6,0.8383233532934131,0.7462812397514502,0.6787185995010824,0.7091755672991497
7,0.8356620093147039,0.7420845121000799,0.6713160765819374,0.7033677950810687
8,0.8349966733200266,0.7471089796562378,0.6704295379708479,0.7050049381287772
9,0.8403193612774451,0.7500125040987865,0.678335614049339,0.7109093370246581
10,0.8369926813040586,0.7455195967910261,0.6661121773568114,0.7013619560475507
