model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.627906976744186,0.5510204081632653,0.5869565217391305,49.0
1,1,bcc,0.7083333333333334,0.6623376623376623,0.6845637583892618,77.0
1,2,bkl,0.6987179487179487,0.6606060606060606,0.6791277258566978,165.0
1,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
1,4,mel,0.6338028169014085,0.5389221556886228,0.5825242718446602,167.0
1,5,nv,0.898961284230406,0.9463220675944334,0.9220338983050848,1006.0
1,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
2,0,akiec,0.6190476190476191,0.5306122448979592,0.5714285714285714,49.0
2,1,bcc,0.7183098591549296,0.6623376623376623,0.6891891891891891,77.0
2,2,bkl,0.7115384615384616,0.6727272727272727,0.6915887850467289,165.0
2,3,df,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
2,4,mel,0.6275862068965518,0.5449101796407185,0.5833333333333334,167.0
2,5,nv,0.8981132075471698,0.9463220675944334,0.9215876089060987,1006.0
2,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
3,0,akiec,0.5909090909090909,0.5306122448979592,0.5591397849462365,49.0
3,1,bcc,0.7246376811594203,0.6493506493506493,0.684931506849315,77.0
3,2,bkl,0.7006369426751592,0.6666666666666666,0.6832298136645962,165.0
3,3,df,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
3,4,mel,0.644927536231884,0.5329341317365269,0.5836065573770491,167.0
3,5,nv,0.8984962406015038,0.9502982107355865,0.923671497584541,1006.0
3,6,vasc,0.8888888888888888,0.7272727272727273,0.8,22.0
4,0,akiec,0.6,0.5510204081632653,0.574468085106383,49.0
4,1,bcc,0.7083333333333334,0.6623376623376623,0.6845637583892618,77.0
4,2,bkl,0.7161290322580646,0.6727272727272727,0.69375,165.0
4,3,df,0.7142857142857143,0.5882352941176471,0.6451612903225806,17.0
4,4,mel,0.6285714285714286,0.5269461077844312,0.5732899022801303,167.0
4,5,nv,0.8990566037735849,0.9473161033797217,0.9225556631171346,1006.0
4,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
5,0,akiec,0.6086956521739131,0.5714285714285714,0.5894736842105263,49.0
5,1,bcc,0.7246376811594203,0.6493506493506493,0.684931506849315,77.0
5,2,bkl,0.7070063694267515,0.6727272727272727,0.6894409937888198,165.0
5,3,df,0.7333333333333333,0.6470588235294118,0.6875,17.0
5,4,mel,0.6376811594202898,0.5269461077844312,0.5770491803278689,167.0
5,5,nv,0.8991517436380773,0.94831013916501,0.9230769230769231,1006.0
5,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
6,0,akiec,0.6136363636363636,0.5510204081632653,0.5806451612903226,49.0
6,1,bcc,0.7285714285714285,0.6623376623376623,0.6938775510204082,77.0
6,2,bkl,0.7115384615384616,0.6727272727272727,0.6915887850467289,165.0
6,3,df,0.75,0.7058823529411765,0.7272727272727273,17.0
6,4,mel,0.6376811594202898,0.5269461077844312,0.5770491803278689,167.0
6,5,nv,0.9001883239171374,0.9502982107355865,0.9245647969052224,1006.0
6,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
7,0,akiec,0.6,0.5510204081632653,0.574468085106383,49.0
7,1,bcc,0.7391304347826086,0.6623376623376623,0.6986301369863014,77.0
7,2,bkl,0.7115384615384616,0.6727272727272727,0.6915887850467289,165.0
7,3,df,0.7333333333333333,0.6470588235294118,0.6875,17.0
7,4,mel,0.6293706293706294,0.5389221556886228,0.5806451612903226,167.0
7,5,nv,0.8988657844990549,0.9453280318091452,0.9215116279069767,1006.0
7,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
8,0,akiec,0.6,0.5510204081632653,0.574468085106383,49.0
8,1,bcc,0.7183098591549296,0.6623376623376623,0.6891891891891891,77.0
8,2,bkl,0.7152317880794702,0.6545454545454545,0.6835443037974683,165.0
8,3,df,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
8,4,mel,0.6301369863013698,0.5508982035928144,0.5878594249201278,167.0
8,5,nv,0.8980169971671388,0.9453280318091452,0.9210653753026634,1006.0
8,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
9,0,akiec,0.6190476190476191,0.5306122448979592,0.5714285714285714,49.0
9,1,bcc,0.7323943661971831,0.6753246753246753,0.7027027027027027,77.0
9,2,bkl,0.7243589743589743,0.6848484848484848,0.7040498442367601,165.0
9,3,df,0.7333333333333333,0.6470588235294118,0.6875,17.0
9,4,mel,0.6544117647058824,0.5329341317365269,0.5874587458745875,167.0
9,5,nv,0.8976525821596244,0.9502982107355865,0.9232254949299855,1006.0
9,6,vasc,0.8888888888888888,0.7272727272727273,0.8,22.0
10,0,akiec,0.5957446808510638,0.5714285714285714,0.5833333333333334,49.0
10,1,bcc,0.7285714285714285,0.6623376623376623,0.6938775510204082,77.0
10,2,bkl,0.7161290322580646,0.6727272727272727,0.69375,165.0
10,3,df,0.7692307692307693,0.5882352941176471,0.6666666666666666,17.0
10,4,mel,0.625,0.5389221556886228,0.5787781350482315,167.0
10,5,nv,0.9016083254493851,0.9473161033797217,0.9238972370334464,1006.0
10,6,vasc,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
