model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8363273453093812,0.7791832754026545,0.659967284261587,0.7114920460767584
2,0.8330006653359947,0.782787862792134,0.6535989977759843,0.708672964992797
3,0.8349966733200266,0.7954168214981711,0.6562067692460313,0.7144955041334813
4,0.8303393213572854,0.7837447743869168,0.652674656763418,0.7083546841215219
5,0.8356620093147039,0.7829070922617819,0.6557363459635617,0.7098346544381444
6,0.833666001330672,0.7833356448741793,0.6497110538185522,0.7058861278870562
7,0.833666001330672,0.7834157063051231,0.6507005405223246,0.7062632376690683
8,0.8349966733200266,0.7828582322499227,0.6476693531908776,0.7043777917712789
9,0.8369926813040586,0.7887732564759082,0.6583960069163819,0.7139418541367272
10,0.8330006653359947,0.7745002045820357,0.653343675698473,0.7053137611381143
