model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.65,0.5306122448979592,0.5842696629213483,49.0
1,1,bcc,0.7741935483870968,0.6233766233766234,0.6906474820143885,77.0
1,2,bkl,0.7236842105263158,0.6666666666666666,0.694006309148265,165.0
1,3,df,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
1,4,mel,0.6370370370370371,0.5149700598802395,0.5695364238410596,167.0
1,5,nv,0.8857142857142857,0.9552683896620279,0.9191774270683883,1006.0
1,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
2,0,akiec,0.6410256410256411,0.5102040816326531,0.5681818181818182,49.0
2,1,bcc,0.7619047619047619,0.6233766233766234,0.6857142857142857,77.0
2,2,bkl,0.7133333333333334,0.6484848484848484,0.6793650793650794,165.0
2,3,df,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
2,4,mel,0.625,0.5089820359281437,0.5610561056105611,167.0
2,5,nv,0.8840846366145354,0.9552683896620279,0.9182990922121357,1006.0
2,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
3,0,akiec,0.6410256410256411,0.5102040816326531,0.5681818181818182,49.0
3,1,bcc,0.7741935483870968,0.6233766233766234,0.6906474820143885,77.0
3,2,bkl,0.7115384615384616,0.6727272727272727,0.6915887850467289,165.0
3,3,df,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
3,4,mel,0.6412213740458015,0.5029940119760479,0.5637583892617449,167.0
3,5,nv,0.8832720588235294,0.9552683896620279,0.9178605539637058,1006.0
3,6,vasc,1.0,0.6818181818181818,0.8108108108108109,22.0
4,0,akiec,0.65,0.5306122448979592,0.5842696629213483,49.0
4,1,bcc,0.7704918032786885,0.6103896103896104,0.6811594202898551,77.0
4,2,bkl,0.7105263157894737,0.6545454545454545,0.6813880126182965,165.0
4,3,df,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
4,4,mel,0.6212121212121212,0.49101796407185627,0.5484949832775919,167.0
4,5,nv,0.8798165137614679,0.9532803180914513,0.9150763358778626,1006.0
4,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
5,0,akiec,0.6153846153846154,0.4897959183673469,0.5454545454545454,49.0
5,1,bcc,0.7741935483870968,0.6233766233766234,0.6906474820143885,77.0
5,2,bkl,0.7243589743589743,0.6848484848484848,0.7040498442367601,165.0
5,3,df,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
5,4,mel,0.625,0.5089820359281437,0.5610561056105611,167.0
5,5,nv,0.8872458410351202,0.9542743538767395,0.9195402298850575,1006.0
5,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
6,0,akiec,0.6341463414634146,0.5306122448979592,0.5777777777777777,49.0
6,1,bcc,0.7868852459016393,0.6233766233766234,0.6956521739130435,77.0
6,2,bkl,0.7189542483660131,0.6666666666666666,0.6918238993710691,165.0
6,3,df,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
6,4,mel,0.6268656716417911,0.5029940119760479,0.5581395348837209,167.0
6,5,nv,0.8831646734130635,0.9542743538767395,0.9173435260391782,1006.0
6,6,vasc,1.0,0.6818181818181818,0.8108108108108109,22.0
7,0,akiec,0.6190476190476191,0.5306122448979592,0.5714285714285714,49.0
7,1,bcc,0.7903225806451613,0.6363636363636364,0.7050359712230215,77.0
7,2,bkl,0.7171052631578947,0.6606060606060606,0.6876971608832808,165.0
7,3,df,0.9090909090909091,0.5882352941176471,0.7142857142857143,17.0
7,4,mel,0.6268656716417911,0.5029940119760479,0.5581395348837209,167.0
7,5,nv,0.8839779005524862,0.9542743538767395,0.9177820267686424,1006.0
7,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
8,0,akiec,0.6097560975609756,0.5102040816326531,0.5555555555555556,49.0
8,1,bcc,0.7833333333333333,0.6103896103896104,0.6861313868613139,77.0
8,2,bkl,0.7320261437908496,0.6787878787878788,0.7044025157232704,165.0
8,3,df,0.8333333333333334,0.5882352941176471,0.6896551724137931,17.0
8,4,mel,0.6390977443609023,0.5089820359281437,0.5666666666666667,167.0
8,5,nv,0.8824609733700642,0.9552683896620279,0.9174224343675418,1006.0
8,6,vasc,1.0,0.6818181818181818,0.8108108108108109,22.0
9,0,akiec,0.65,0.5306122448979592,0.5842696629213483,49.0
9,1,bcc,0.7704918032786885,0.6103896103896104,0.6811594202898551,77.0
9,2,bkl,0.7284768211920529,0.6666666666666666,0.6962025316455697,165.0
9,3,df,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
9,4,mel,0.6323529411764706,0.5149700598802395,0.5676567656765676,167.0
9,5,nv,0.8859245630174793,0.9572564612326043,0.9202102245580507,1006.0
9,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
10,0,akiec,0.625,0.5102040816326531,0.5617977528089888,49.0
10,1,bcc,0.7833333333333333,0.6103896103896104,0.6861313868613139,77.0
10,2,bkl,0.7051282051282052,0.6666666666666666,0.6853582554517134,165.0
10,3,df,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
10,4,mel,0.6412213740458015,0.5029940119760479,0.5637583892617449,167.0
10,5,nv,0.8831646734130635,0.9542743538767395,0.9173435260391782,1006.0
10,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
