model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8343313373253493,0.7067399252001859,0.7028819502350407,0.7030600769955492
2,0.83166999334664,0.7035938184323467,0.6963796090388221,0.6983480668687854
3,0.8283433133732535,0.7078087197088218,0.698076340824287,0.700946466904182
4,0.8290086493679308,0.6989500003682896,0.687162805175969,0.6911432197881444
5,0.8296739853626082,0.7013046107101799,0.6952401668212974,0.6965335689408337
6,0.83166999334664,0.7093290620047857,0.7089021258859903,0.7080524270600563
7,0.8330006653359947,0.7054926230495634,0.6980801041524909,0.7002031850805454
8,0.8296739853626082,0.6991803633548707,0.6876818685972719,0.6915253544791733
9,0.8323353293413174,0.7058741017173034,0.6996617503703403,0.7009883560251529
10,0.8290086493679308,0.7002501516302647,0.6916612279216905,0.6944903367018976
