model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8389886892880905,0.7319337398495949,0.7034178812168678,0.7152660054673582
2,0.8369926813040586,0.7251537127337119,0.6988726118298533,0.709804335710146
3,0.8349966733200266,0.7161680893778505,0.6928590131903166,0.7028868944267138
4,0.8376580172987359,0.7218952779006009,0.6972099191176614,0.7074467931743136
5,0.8356620093147039,0.7214374690717122,0.6975076995347261,0.7072189220314027
6,0.8363273453093812,0.7191482452012229,0.7039105764145581,0.7100383308605974
7,0.8343313373253493,0.7167565949867961,0.6961332041202668,0.704466996202602
8,0.8383233532934131,0.7210969768000556,0.7008699045116107,0.7088890943340124
9,0.8363273453093812,0.7204866005227161,0.6987098689723806,0.7075114195452125
10,0.8396540252827678,0.7272280044440779,0.7001333214142733,0.7116639239859375
