model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.6444444444444445,0.5918367346938775,0.6170212765957447,49.0
1,1,bcc,0.6629213483146067,0.7662337662337663,0.7108433734939759,77.0
1,2,bkl,0.7320261437908496,0.6787878787878788,0.7044025157232704,165.0
1,3,df,0.7333333333333333,0.6470588235294118,0.6875,17.0
1,4,mel,0.5921787709497207,0.6347305389221557,0.6127167630057804,167.0
1,5,nv,0.9252988047808764,0.9234592445328031,0.9243781094527364,1006.0
1,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
2,0,akiec,0.6744186046511628,0.5918367346938775,0.6304347826086957,49.0
2,1,bcc,0.6404494382022472,0.7402597402597403,0.6867469879518072,77.0
2,2,bkl,0.7307692307692307,0.6909090909090909,0.7102803738317757,165.0
2,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
2,4,mel,0.5852272727272727,0.6167664670658682,0.6005830903790087,167.0
2,5,nv,0.9243781094527364,0.9234592445328031,0.9239184485330681,1006.0
2,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
3,0,akiec,0.6170212765957447,0.5918367346938775,0.6041666666666666,49.0
3,1,bcc,0.6395348837209303,0.7142857142857143,0.6748466257668712,77.0
3,2,bkl,0.7225806451612903,0.6787878787878788,0.7,165.0
3,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
3,4,mel,0.5895953757225434,0.6107784431137725,0.6,167.0
3,5,nv,0.9236111111111112,0.9254473161033797,0.9245283018867925,1006.0
3,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
4,0,akiec,0.6222222222222222,0.5714285714285714,0.5957446808510638,49.0
4,1,bcc,0.6590909090909091,0.7532467532467533,0.703030303030303,77.0
4,2,bkl,0.74,0.6727272727272727,0.7047619047619048,165.0
4,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
4,4,mel,0.5865921787709497,0.6287425149700598,0.6069364161849711,167.0
4,5,nv,0.9245283018867925,0.9254473161033797,0.9249875807252856,1006.0
4,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
5,0,akiec,0.6363636363636364,0.5714285714285714,0.6021505376344086,49.0
5,1,bcc,0.651685393258427,0.7532467532467533,0.6987951807228916,77.0
5,2,bkl,0.7368421052631579,0.6787878787878788,0.7066246056782335,165.0
5,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
5,4,mel,0.580110497237569,0.6287425149700598,0.603448275862069,167.0
5,5,nv,0.9242273180458624,0.9214711729622267,0.9228471876555501,1006.0
5,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
6,0,akiec,0.6170212765957447,0.5918367346938775,0.6041666666666666,49.0
6,1,bcc,0.6444444444444445,0.7532467532467533,0.6946107784431138,77.0
6,2,bkl,0.7254901960784313,0.6727272727272727,0.6981132075471698,165.0
6,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
6,4,mel,0.5930232558139535,0.6107784431137725,0.6017699115044248,167.0
6,5,nv,0.9244532803180915,0.9244532803180915,0.9244532803180915,1006.0
6,6,vasc,0.8421052631578947,0.7272727272727273,0.7804878048780488,22.0
7,0,akiec,0.6304347826086957,0.5918367346938775,0.6105263157894737,49.0
7,1,bcc,0.6404494382022472,0.7402597402597403,0.6867469879518072,77.0
7,2,bkl,0.7207792207792207,0.6727272727272727,0.6959247648902821,165.0
7,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
7,4,mel,0.5786516853932584,0.6167664670658682,0.5971014492753624,167.0
7,5,nv,0.9261477045908184,0.9224652087475149,0.9243027888446215,1006.0
7,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
8,0,akiec,0.6444444444444445,0.5918367346938775,0.6170212765957447,49.0
8,1,bcc,0.6373626373626373,0.7532467532467533,0.6904761904761905,77.0
8,2,bkl,0.7215189873417721,0.6909090909090909,0.7058823529411765,165.0
8,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
8,4,mel,0.5953757225433526,0.6167664670658682,0.6058823529411764,167.0
8,5,nv,0.9281437125748503,0.9244532803180915,0.9262948207171314,1006.0
8,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
9,0,akiec,0.6444444444444445,0.5918367346938775,0.6170212765957447,49.0
9,1,bcc,0.6404494382022472,0.7402597402597403,0.6867469879518072,77.0
9,2,bkl,0.7272727272727273,0.6787878787878788,0.7021943573667712,165.0
9,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
9,4,mel,0.5833333333333334,0.6287425149700598,0.6051873198847262,167.0
9,5,nv,0.9270729270729271,0.9224652087475149,0.9247633283507724,1006.0
9,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
10,0,akiec,0.6590909090909091,0.5918367346938775,0.6236559139784946,49.0
10,1,bcc,0.6551724137931034,0.7402597402597403,0.6951219512195121,77.0
10,2,bkl,0.7320261437908496,0.6787878787878788,0.7044025157232704,165.0
10,3,df,0.6875,0.6470588235294118,0.6666666666666666,17.0
10,4,mel,0.5988700564971752,0.6347305389221557,0.6162790697674418,167.0
10,5,nv,0.9246031746031746,0.9264413518886679,0.9255213505461768,1006.0
10,6,vasc,0.8333333333333334,0.6818181818181818,0.75,22.0
