model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8829008649367931,0.8745166004406338,0.7567160892631607,0.8052610315927741
2,0.8875582168995343,0.8788371423623377,0.7623082216476612,0.8097972121866358
3,0.886892880904857,0.8780863411828177,0.7593824008799732,0.8079610784882366
4,0.8875582168995343,0.8796845396135076,0.7630112796559895,0.8108592359826243
5,0.886892880904857,0.8750020317075631,0.7598301368107901,0.8071845941020086
6,0.8875582168995343,0.8793094446333712,0.7592690839146459,0.8083405196178445
7,0.884896872920825,0.8757300056689197,0.757529531781476,0.8057563684556236
8,0.8855622089155023,0.8780660452747399,0.7573851081982159,0.806910889067003
9,0.8862275449101796,0.8749150140010833,0.7610139869742321,0.8080233860736774
10,0.8862275449101796,0.8763463629971424,0.7617585204731376,0.8088317814435338
