model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8922155688622755,0.8686726111907014,0.78746046313982,0.8207625702876796
2,0.8895542248835662,0.8643329605143627,0.7844761022253665,0.8168332939942576
3,0.8915502328675982,0.8659075746833498,0.7883286824766971,0.8196730307308281
4,0.8882235528942116,0.8605471526294933,0.7807052183371661,0.8132579851479941
5,0.8902195608782435,0.8607327324746825,0.7871359976105429,0.8167954321843262
6,0.8902195608782435,0.8641720126979513,0.7818446605546907,0.8155348531248495
7,0.8895542248835662,0.8632024715674638,0.7817130243151509,0.8148810196948573
8,0.8908848968729208,0.8698244434321374,0.7843227453915619,0.8192971064968757
9,0.8902195608782435,0.8633566440358688,0.7839046804565779,0.8161358165591178
10,0.8895542248835662,0.8617657095497796,0.7834159378998959,0.8151581736823718
