model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8888888888888888,0.8708326166223613,0.7772800890444876,0.8157469969325647
2,0.8888888888888888,0.868121096460791,0.775556437714454,0.8138755040219526
3,0.8895542248835662,0.8681744336388978,0.7754016452585495,0.8138765848955548
4,0.8888888888888888,0.866916242178611,0.7772593512991991,0.8141381932485551
5,0.8902195608782435,0.8689280489794257,0.7782567884045396,0.8155181486817323
6,0.8902195608782435,0.8716520139914324,0.7765538748197948,0.8157997926448278
7,0.8842315369261478,0.8629811665634641,0.770984898651659,0.8084966173036235
8,0.8888888888888888,0.8659246612907351,0.7751993313973118,0.812599029012798
9,0.886892880904857,0.8667775828886211,0.777843560411708,0.8143726826718546
10,0.8895542248835662,0.8680072410405898,0.7770546189668851,0.8143424039664865
