model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.89354624085163,0.8671624241161572,0.7843678483258189,0.8189508881895051
2,0.8942115768463074,0.8686860157081485,0.7939212302976294,0.824806055231433
3,0.8922155688622755,0.8657773306389647,0.7932191551382773,0.8231653042981002
4,0.8915502328675982,0.8655368213904463,0.7898663361850611,0.8210890558457361
5,0.8902195608782435,0.8642417712371594,0.7878690435033038,0.8194082111468081
6,0.8922155688622755,0.8650849414756386,0.7917923013763325,0.8217811957943626
7,0.8928809048569527,0.8681062945769283,0.7915772001713741,0.8234860728916772
8,0.8915502328675982,0.8666915825243338,0.7891425404314443,0.8214589120365468
9,0.8922155688622755,0.8677533951590977,0.7934952149610773,0.8242635632689564
10,0.8928809048569527,0.8670991093393579,0.7912001418622553,0.8226109503572497
