model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8822355289421158,0.85074642698662,0.7666606902903395,0.8034173568078549
2,0.8829008649367931,0.850318321147242,0.7743506247539048,0.8076709420663061
3,0.8809048569527611,0.8475191642558585,0.7611972616900387,0.7989356629202584
4,0.8829008649367931,0.8484581257571294,0.7658235775713955,0.8018573471399241
5,0.8822355289421158,0.849557774258081,0.7655314074083555,0.8017747009141736
6,0.8815701929474384,0.8468069267936917,0.7565647842337012,0.7954438496133154
7,0.8829008649367931,0.8531960323011063,0.7660996373941954,0.8042303554527424
8,0.8829008649367931,0.8491829377062504,0.7609887862538202,0.7991464925697577
9,0.8842315369261478,0.8517525934623159,0.7621931646254473,0.8006655417738099
10,0.8809048569527611,0.8464089605249944,0.763889661978556,0.8001520190118939
