model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8822355289421158,0.8680500786593225,0.7525564286774898,0.8016796367703748
2,0.8809048569527611,0.8483953520925352,0.7508248269458881,0.7924876389722719
3,0.8822355289421158,0.8562379772311408,0.7508431462201006,0.7963376345279917
4,0.8829008649367931,0.8675595895874361,0.7534222295432907,0.8017353003356094
5,0.8809048569527611,0.8648127950641173,0.7508351958185324,0.7988805493726009
6,0.8829008649367931,0.8627487203390686,0.754411716247063,0.8003382786337363
7,0.8822355289421158,0.8657389053680716,0.7532802244311068,0.801121630523814
8,0.8815701929474384,0.8534792993775452,0.7509668320580721,0.7951353059707025
9,0.8829008649367931,0.8582560746775824,0.7564717361489504,0.8004778530150496
10,0.8829008649367931,0.8575700345611164,0.754411716247063,0.7990636136483876
