model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
1,1,bcc,0.8769230769230769,0.7402597402597403,0.8028169014084507,77.0
1,2,bkl,0.8378378378378378,0.7515151515151515,0.792332268370607,165.0
1,3,df,1.0,0.7058823529411765,0.8275862068965517,17.0
1,4,mel,0.7714285714285715,0.6467065868263473,0.7035830618892508,167.0
1,5,nv,0.907563025210084,0.9662027833001988,0.9359653346172364,1006.0
1,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
2,0,akiec,0.7037037037037037,0.7755102040816326,0.7378640776699029,49.0
2,1,bcc,0.8769230769230769,0.7402597402597403,0.8028169014084507,77.0
2,2,bkl,0.8243243243243243,0.7393939393939394,0.7795527156549521,165.0
2,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
2,4,mel,0.7605633802816901,0.6467065868263473,0.6990291262135923,167.0
2,5,nv,0.9126760563380282,0.9662027833001988,0.938676967648479,1006.0
2,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
3,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
3,1,bcc,0.875,0.7272727272727273,0.7943262411347518,77.0
3,2,bkl,0.8266666666666667,0.7515151515151515,0.7873015873015873,165.0
3,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
3,4,mel,0.7769784172661871,0.6467065868263473,0.7058823529411765,167.0
3,5,nv,0.9093457943925234,0.967196819085487,0.9373795761078998,1006.0
3,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
4,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
4,1,bcc,0.890625,0.7402597402597403,0.8085106382978723,77.0
4,2,bkl,0.8333333333333334,0.7575757575757576,0.7936507936507936,165.0
4,3,df,1.0,0.7058823529411765,0.8275862068965517,17.0
4,4,mel,0.7714285714285715,0.6467065868263473,0.7035830618892508,167.0
4,5,nv,0.9092609915809168,0.9662027833001988,0.9368674698795181,1006.0
4,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
5,0,akiec,0.7169811320754716,0.7755102040816326,0.7450980392156863,49.0
5,1,bcc,0.890625,0.7402597402597403,0.8085106382978723,77.0
5,2,bkl,0.8367346938775511,0.7454545454545455,0.7884615384615384,165.0
5,3,df,1.0,0.7058823529411765,0.8275862068965517,17.0
5,4,mel,0.7642857142857142,0.6407185628742516,0.6970684039087948,167.0
5,5,nv,0.907563025210084,0.9662027833001988,0.9359653346172364,1006.0
5,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
6,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
6,1,bcc,0.8656716417910447,0.7532467532467533,0.8055555555555556,77.0
6,2,bkl,0.8266666666666667,0.7515151515151515,0.7873015873015873,165.0
6,3,df,1.0,0.7058823529411765,0.8275862068965517,17.0
6,4,mel,0.7659574468085106,0.6467065868263473,0.7012987012987013,167.0
6,5,nv,0.9126760563380282,0.9662027833001988,0.938676967648479,1006.0
6,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
7,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
7,1,bcc,0.8636363636363636,0.7402597402597403,0.7972027972027972,77.0
7,2,bkl,0.8333333333333334,0.7575757575757576,0.7936507936507936,165.0
7,3,df,1.0,0.7058823529411765,0.8275862068965517,17.0
7,4,mel,0.7714285714285715,0.6467065868263473,0.7035830618892508,167.0
7,5,nv,0.9091760299625468,0.9652087475149106,0.9363548698167792,1006.0
7,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
8,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
8,1,bcc,0.8769230769230769,0.7402597402597403,0.8028169014084507,77.0
8,2,bkl,0.8299319727891157,0.7393939393939394,0.782051282051282,165.0
8,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
8,4,mel,0.7659574468085106,0.6467065868263473,0.7012987012987013,167.0
8,5,nv,0.9101964452759589,0.967196819085487,0.9378313253012048,1006.0
8,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
9,0,akiec,0.7647058823529411,0.7959183673469388,0.78,49.0
9,1,bcc,0.8656716417910447,0.7532467532467533,0.8055555555555556,77.0
9,2,bkl,0.8322147651006712,0.7515151515151515,0.7898089171974523,165.0
9,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
9,4,mel,0.7753623188405797,0.6407185628742516,0.7016393442622951,167.0
9,5,nv,0.9092609915809168,0.9662027833001988,0.9368674698795181,1006.0
9,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
10,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
10,1,bcc,0.8787878787878788,0.7532467532467533,0.8111888111888111,77.0
10,2,bkl,0.8378378378378378,0.7515151515151515,0.792332268370607,165.0
10,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
10,4,mel,0.7714285714285715,0.6467065868263473,0.7035830618892508,167.0
10,5,nv,0.9092609915809168,0.9662027833001988,0.9368674698795181,1006.0
10,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
