model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
1,1,bcc,0.8533333333333334,0.8311688311688312,0.8421052631578947,77.0
1,2,bkl,0.7911392405063291,0.7575757575757576,0.7739938080495357,165.0
1,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
1,4,mel,0.768,0.5748502994011976,0.6575342465753424,167.0
1,5,nv,0.9005576208178439,0.963220675944334,0.930835734870317,1006.0
1,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
2,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
2,1,bcc,0.8552631578947368,0.8441558441558441,0.8496732026143791,77.0
2,2,bkl,0.7911392405063291,0.7575757575757576,0.7739938080495357,165.0
2,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
2,4,mel,0.7698412698412699,0.5808383233532934,0.6621160409556314,167.0
2,5,nv,0.9022346368715084,0.963220675944334,0.9317307692307693,1006.0
2,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
3,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
3,1,bcc,0.8533333333333334,0.8311688311688312,0.8421052631578947,77.0
3,2,bkl,0.7875,0.7636363636363637,0.7753846153846153,165.0
3,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
3,4,mel,0.7661290322580645,0.5688622754491018,0.6529209621993127,167.0
3,5,nv,0.9013953488372093,0.963220675944334,0.9312830370014417,1006.0
3,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
4,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
4,1,bcc,0.8421052631578947,0.8311688311688312,0.8366013071895425,77.0
4,2,bkl,0.7924528301886793,0.7636363636363637,0.7777777777777778,165.0
4,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
4,4,mel,0.7698412698412699,0.5808383233532934,0.6621160409556314,167.0
4,5,nv,0.902143522833178,0.9622266401590457,0.9312169312169312,1006.0
4,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
5,0,akiec,0.8095238095238095,0.6938775510204082,0.7472527472527473,49.0
5,1,bcc,0.8533333333333334,0.8311688311688312,0.8421052631578947,77.0
5,2,bkl,0.782608695652174,0.7636363636363637,0.7730061349693251,165.0
5,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
5,4,mel,0.7716535433070866,0.5868263473053892,0.6666666666666666,167.0
5,5,nv,0.9039179104477612,0.963220675944334,0.9326275264677575,1006.0
5,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
6,0,akiec,0.7954545454545454,0.7142857142857143,0.7526881720430108,49.0
6,1,bcc,0.8648648648648649,0.8311688311688312,0.847682119205298,77.0
6,2,bkl,0.7924528301886793,0.7636363636363637,0.7777777777777778,165.0
6,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
6,4,mel,0.7698412698412699,0.5808383233532934,0.6621160409556314,167.0
6,5,nv,0.9022346368715084,0.963220675944334,0.9317307692307693,1006.0
6,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
7,0,akiec,0.8095238095238095,0.6938775510204082,0.7472527472527473,49.0
7,1,bcc,0.8421052631578947,0.8311688311688312,0.8366013071895425,77.0
7,2,bkl,0.7861635220125787,0.7575757575757576,0.7716049382716049,165.0
7,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
7,4,mel,0.7698412698412699,0.5808383233532934,0.6621160409556314,167.0
7,5,nv,0.9013035381750466,0.9622266401590457,0.9307692307692308,1006.0
7,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
8,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
8,1,bcc,0.8666666666666667,0.8441558441558441,0.8552631578947368,77.0
8,2,bkl,0.7924528301886793,0.7636363636363637,0.7777777777777778,165.0
8,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
8,4,mel,0.76,0.5688622754491018,0.6506849315068494,167.0
8,5,nv,0.9013953488372093,0.963220675944334,0.9312830370014417,1006.0
8,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
9,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
9,1,bcc,0.8533333333333334,0.8311688311688312,0.8421052631578947,77.0
9,2,bkl,0.802547770700637,0.7636363636363637,0.782608695652174,165.0
9,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
9,4,mel,0.7698412698412699,0.5808383233532934,0.6621160409556314,167.0
9,5,nv,0.9014869888475836,0.9642147117296223,0.9317963496637848,1006.0
9,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
10,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
10,1,bcc,0.8552631578947368,0.8441558441558441,0.8496732026143791,77.0
10,2,bkl,0.79375,0.7696969696969697,0.7815384615384615,165.0
10,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
10,4,mel,0.7698412698412699,0.5808383233532934,0.6621160409556314,167.0
10,5,nv,0.9029850746268657,0.9622266401590457,0.931665062560154,1006.0
10,6,vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
