model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
1,1,bcc,0.8157894736842105,0.8051948051948052,0.8104575163398693,77.0
1,2,bkl,0.7962962962962963,0.7818181818181819,0.7889908256880734,165.0
1,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
1,4,mel,0.740506329113924,0.7005988023952096,0.72,167.0
1,5,nv,0.9374389051808406,0.9532803180914513,0.9452932479053721,1006.0
1,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
2,0,akiec,0.7647058823529411,0.7959183673469388,0.78,49.0
2,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
2,2,bkl,0.8164556962025317,0.7818181818181819,0.7987616099071208,165.0
2,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
2,4,mel,0.7468354430379747,0.7065868263473054,0.7261538461538461,167.0
2,5,nv,0.935672514619883,0.9542743538767395,0.9448818897637795,1006.0
2,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
3,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
3,1,bcc,0.8181818181818182,0.8181818181818182,0.8181818181818182,77.0
3,2,bkl,0.8,0.7757575757575758,0.7876923076923077,165.0
3,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
3,4,mel,0.7419354838709677,0.688622754491018,0.7142857142857143,167.0
3,5,nv,0.9357351509250244,0.9552683896620279,0.9454008853910477,1006.0
3,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
4,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
4,1,bcc,0.810126582278481,0.8311688311688312,0.8205128205128205,77.0
4,2,bkl,0.8050314465408805,0.7757575757575758,0.7901234567901234,165.0
4,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
4,4,mel,0.7452229299363057,0.7005988023952096,0.7222222222222222,167.0
4,5,nv,0.9375,0.9542743538767395,0.9458128078817734,1006.0
4,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
5,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
5,1,bcc,0.810126582278481,0.8311688311688312,0.8205128205128205,77.0
5,2,bkl,0.8113207547169812,0.7818181818181819,0.7962962962962963,165.0
5,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
5,4,mel,0.7564102564102564,0.7065868263473054,0.7306501547987616,167.0
5,5,nv,0.935672514619883,0.9542743538767395,0.9448818897637795,1006.0
5,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
6,0,akiec,0.75,0.7959183673469388,0.7722772277227723,49.0
6,1,bcc,0.8157894736842105,0.8051948051948052,0.8104575163398693,77.0
6,2,bkl,0.8012422360248447,0.7818181818181819,0.7914110429447853,165.0
6,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
6,4,mel,0.7435897435897436,0.6946107784431138,0.718266253869969,167.0
6,5,nv,0.934761441090555,0.9542743538767395,0.9444171175602558,1006.0
6,6,vasc,0.9375,0.6818181818181818,0.7894736842105263,22.0
7,0,akiec,0.7037037037037037,0.7755102040816326,0.7378640776699029,49.0
7,1,bcc,0.8181818181818182,0.8181818181818182,0.8181818181818182,77.0
7,2,bkl,0.8050314465408805,0.7757575757575758,0.7901234567901234,165.0
7,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
7,4,mel,0.7647058823529411,0.7005988023952096,0.73125,167.0
7,5,nv,0.9367088607594937,0.9562624254473161,0.9463846532218396,1006.0
7,6,vasc,0.9444444444444444,0.7727272727272727,0.85,22.0
8,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
8,1,bcc,0.810126582278481,0.8311688311688312,0.8205128205128205,77.0
8,2,bkl,0.8012422360248447,0.7818181818181819,0.7914110429447853,165.0
8,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
8,4,mel,0.7467532467532467,0.688622754491018,0.7165109034267912,167.0
8,5,nv,0.935609756097561,0.9532803180914513,0.9443623830625307,1006.0
8,6,vasc,0.9444444444444444,0.7727272727272727,0.85,22.0
9,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
9,1,bcc,0.810126582278481,0.8311688311688312,0.8205128205128205,77.0
9,2,bkl,0.8,0.7757575757575758,0.7876923076923077,165.0
9,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
9,4,mel,0.75,0.7005988023952096,0.7244582043343654,167.0
9,5,nv,0.9365234375,0.9532803180914513,0.9448275862068966,1006.0
9,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
10,0,akiec,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
10,1,bcc,0.810126582278481,0.8311688311688312,0.8205128205128205,77.0
10,2,bkl,0.80625,0.7818181818181819,0.7938461538461539,165.0
10,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
10,4,mel,0.7581699346405228,0.6946107784431138,0.725,167.0
10,5,nv,0.935672514619883,0.9542743538767395,0.9448818897637795,1006.0
10,6,vasc,0.9444444444444444,0.7727272727272727,0.85,22.0
