model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.75,0.7959183673469388,0.7722772277227723,49.0
1,1,bcc,0.8125,0.8441558441558441,0.8280254777070064,77.0
1,2,bkl,0.8152866242038217,0.7757575757575758,0.7950310559006211,165.0
1,3,df,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
1,4,mel,0.7515923566878981,0.7065868263473054,0.7283950617283951,167.0
1,5,nv,0.935672514619883,0.9542743538767395,0.9448818897637795,1006.0
1,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
2,0,akiec,0.78,0.7959183673469388,0.7878787878787878,49.0
2,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
2,2,bkl,0.8258064516129032,0.7757575757575758,0.8,165.0
2,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
2,4,mel,0.7452229299363057,0.7005988023952096,0.7222222222222222,167.0
2,5,nv,0.9321047526673133,0.9552683896620279,0.9435444280805105,1006.0
2,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
3,0,akiec,0.7450980392156863,0.7755102040816326,0.76,49.0
3,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
3,2,bkl,0.8050314465408805,0.7757575757575758,0.7901234567901234,165.0
3,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
3,4,mel,0.7581699346405228,0.6946107784431138,0.725,167.0
3,5,nv,0.933009708737864,0.9552683896620279,0.944007858546169,1006.0
3,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
4,0,akiec,0.75,0.7959183673469388,0.7722772277227723,49.0
4,1,bcc,0.8181818181818182,0.8181818181818182,0.8181818181818182,77.0
4,2,bkl,0.810126582278481,0.7757575757575758,0.7925696594427245,165.0
4,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
4,4,mel,0.7516339869281046,0.688622754491018,0.71875,167.0
4,5,nv,0.9321047526673133,0.9552683896620279,0.9435444280805105,1006.0
4,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
5,0,akiec,0.7647058823529411,0.7959183673469388,0.78,49.0
5,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
5,2,bkl,0.821656050955414,0.7818181818181819,0.8012422360248447,165.0
5,3,df,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
5,4,mel,0.7483870967741936,0.6946107784431138,0.7204968944099379,167.0
5,5,nv,0.933074684772066,0.9562624254473161,0.944526264113893,1006.0
5,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
6,0,akiec,0.78,0.7959183673469388,0.7878787878787878,49.0
6,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
6,2,bkl,0.8164556962025317,0.7818181818181819,0.7987616099071208,165.0
6,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
6,4,mel,0.7515923566878981,0.7065868263473054,0.7283950617283951,167.0
6,5,nv,0.9348249027237354,0.9552683896620279,0.9449360865290068,1006.0
6,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
7,0,akiec,0.75,0.7959183673469388,0.7722772277227723,49.0
7,1,bcc,0.8076923076923077,0.8181818181818182,0.8129032258064516,77.0
7,2,bkl,0.8050314465408805,0.7757575757575758,0.7901234567901234,165.0
7,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
7,4,mel,0.7548387096774194,0.7005988023952096,0.7267080745341615,167.0
7,5,nv,0.9337877312560857,0.9532803180914513,0.9434333497294638,1006.0
7,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
8,0,akiec,0.7358490566037735,0.7959183673469388,0.7647058823529411,49.0
8,1,bcc,0.8227848101265823,0.8441558441558441,0.8333333333333334,77.0
8,2,bkl,0.8164556962025317,0.7818181818181819,0.7987616099071208,165.0
8,3,df,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
8,4,mel,0.7419354838709677,0.688622754491018,0.7142857142857143,167.0
8,5,nv,0.934761441090555,0.9542743538767395,0.9444171175602558,1006.0
8,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
9,0,akiec,0.75,0.7959183673469388,0.7722772277227723,49.0
9,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
9,2,bkl,0.8089171974522293,0.7696969696969697,0.7888198757763976,165.0
9,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
9,4,mel,0.7516339869281046,0.688622754491018,0.71875,167.0
9,5,nv,0.9321047526673133,0.9552683896620279,0.9435444280805105,1006.0
9,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
10,0,akiec,0.7358490566037735,0.7959183673469388,0.7647058823529411,49.0
10,1,bcc,0.8205128205128205,0.8311688311688312,0.8258064516129032,77.0
10,2,bkl,0.810126582278481,0.7757575757575758,0.7925696594427245,165.0
10,3,df,0.9333333333333333,0.8235294117647058,0.875,17.0
10,4,mel,0.7615894039735099,0.688622754491018,0.7232704402515723,167.0
10,5,nv,0.9340446168768186,0.9572564612326043,0.9455081001472754,1006.0
10,6,vasc,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
