model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.8444444444444444,0.7755102040816326,0.8085106382978723,49.0
1,1,bcc,0.8888888888888888,0.8311688311688312,0.8590604026845637,77.0
1,2,bkl,0.793939393939394,0.793939393939394,0.793939393939394,165.0
1,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
1,4,mel,0.7569444444444444,0.6526946107784432,0.7009646302250804,167.0
1,5,nv,0.9263862332695985,0.963220675944334,0.9444444444444444,1006.0
1,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
2,0,akiec,0.8085106382978723,0.7755102040816326,0.7916666666666666,49.0
2,1,bcc,0.8767123287671232,0.8311688311688312,0.8533333333333334,77.0
2,2,bkl,0.803680981595092,0.793939393939394,0.7987804878048781,165.0
2,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
2,4,mel,0.7730496453900709,0.6526946107784432,0.7077922077922078,167.0
2,5,nv,0.9265267175572519,0.9652087475149106,0.9454722492697176,1006.0
2,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
3,0,akiec,0.8297872340425532,0.7959183673469388,0.8125,49.0
3,1,bcc,0.8767123287671232,0.8311688311688312,0.8533333333333334,77.0
3,2,bkl,0.8012422360248447,0.7818181818181819,0.7914110429447853,165.0
3,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
3,4,mel,0.7676056338028169,0.6526946107784432,0.7055016181229773,167.0
3,5,nv,0.9256434699714013,0.9652087475149106,0.9450121654501217,1006.0
3,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
4,0,akiec,0.8085106382978723,0.7755102040816326,0.7916666666666666,49.0
4,1,bcc,0.8873239436619719,0.8181818181818182,0.8513513513513513,77.0
4,2,bkl,0.7891566265060241,0.793939393939394,0.7915407854984894,165.0
4,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
4,4,mel,0.7724137931034483,0.6706586826347305,0.717948717948718,167.0
4,5,nv,0.9300095877277086,0.9642147117296223,0.9468033186920449,1006.0
4,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
5,0,akiec,0.8444444444444444,0.7755102040816326,0.8085106382978723,49.0
5,1,bcc,0.8904109589041096,0.8441558441558441,0.8666666666666667,77.0
5,2,bkl,0.793939393939394,0.793939393939394,0.793939393939394,165.0
5,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
5,4,mel,0.7801418439716312,0.6586826347305389,0.7142857142857143,167.0
5,5,nv,0.9265267175572519,0.9652087475149106,0.9454722492697176,1006.0
5,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
6,0,akiec,0.8478260869565217,0.7959183673469388,0.8210526315789474,49.0
6,1,bcc,0.8783783783783784,0.8441558441558441,0.8609271523178808,77.0
6,2,bkl,0.80625,0.7818181818181819,0.7938461538461539,165.0
6,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
6,4,mel,0.7671232876712328,0.6706586826347305,0.7156549520766773,167.0
6,5,nv,0.9282296650717703,0.9642147117296223,0.9458800585080449,1006.0
6,6,vasc,1.0,0.8181818181818182,0.9,22.0
7,0,akiec,0.8043478260869565,0.7551020408163265,0.7789473684210526,49.0
7,1,bcc,0.8767123287671232,0.8311688311688312,0.8533333333333334,77.0
7,2,bkl,0.7901234567901234,0.7757575757575758,0.7828746177370031,165.0
7,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
7,4,mel,0.7638888888888888,0.6586826347305389,0.707395498392283,167.0
7,5,nv,0.9264565425023877,0.9642147117296223,0.9449585971748661,1006.0
7,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
8,0,akiec,0.8409090909090909,0.7551020408163265,0.7956989247311828,49.0
8,1,bcc,0.8873239436619719,0.8181818181818182,0.8513513513513513,77.0
8,2,bkl,0.7926829268292683,0.7878787878787878,0.790273556231003,165.0
8,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
8,4,mel,0.7638888888888888,0.6586826347305389,0.707395498392283,167.0
8,5,nv,0.9246901811248809,0.9642147117296223,0.9440389294403893,1006.0
8,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
9,0,akiec,0.8260869565217391,0.7755102040816326,0.8,49.0
9,1,bcc,0.8888888888888888,0.8311688311688312,0.8590604026845637,77.0
9,2,bkl,0.7891566265060241,0.793939393939394,0.7915407854984894,165.0
9,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
9,4,mel,0.7551020408163265,0.6646706586826348,0.7070063694267515,167.0
9,5,nv,0.9298751200768491,0.9622266401590457,0.9457743038593063,1006.0
9,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
10,0,akiec,0.7916666666666666,0.7755102040816326,0.7835051546391752,49.0
10,1,bcc,0.8873239436619719,0.8181818181818182,0.8513513513513513,77.0
10,2,bkl,0.7878787878787878,0.7878787878787878,0.7878787878787878,165.0
10,3,df,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
10,4,mel,0.7692307692307693,0.6586826347305389,0.7096774193548387,167.0
10,5,nv,0.9272727272727272,0.963220675944334,0.9449049244271087,1006.0
10,6,vasc,1.0,0.7727272727272727,0.8717948717948718,22.0
