model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.89354624085163,0.8831223116554013,0.7806842549631855,0.8263421360764867
2,0.8915502328675982,0.8821418712094135,0.7802375018813448,0.8259307262445763
3,0.8942115768463074,0.8863557883157636,0.7825291736601147,0.8287617693841433
4,0.8922155688622755,0.8811217644642985,0.7796660801125562,0.8248414540269431
5,0.8915502328675982,0.8784558612416984,0.7788002792467553,0.8234267139144329
6,0.8928809048569527,0.8782637504993468,0.7791645502121539,0.8237379474057409
7,0.8928809048569527,0.8862414240465546,0.7817974275049295,0.8283612513925959
8,0.89354624085163,0.883308255726708,0.7881407689475802,0.8312473911451358
9,0.8915502328675982,0.8808319574682618,0.778086852365783,0.8240255478000276
10,0.8928809048569527,0.8853454306557976,0.7846033055385505,0.8296652871323197
