model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.8372093023255814,0.7346938775510204,0.782608695652174,49.0
1,1,bcc,0.8985507246376812,0.8051948051948052,0.8493150684931506,77.0
1,2,bkl,0.8136645962732919,0.793939393939394,0.803680981595092,165.0
1,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
1,4,mel,0.7910447761194029,0.6347305389221557,0.7043189368770764,167.0
1,5,nv,0.9183098591549296,0.9721669980119284,0.9444712699179141,1006.0
1,6,vasc,1.0,0.8181818181818182,0.9,22.0
2,0,akiec,0.8571428571428571,0.7346938775510204,0.7912087912087912,49.0
2,1,bcc,0.8985507246376812,0.8051948051948052,0.8493150684931506,77.0
2,2,bkl,0.8113207547169812,0.7818181818181819,0.7962962962962963,165.0
2,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
2,4,mel,0.7659574468085106,0.6467065868263473,0.7012987012987013,167.0
2,5,nv,0.9189443920829407,0.9691848906560636,0.9433962264150944,1006.0
2,6,vasc,1.0,0.8181818181818182,0.9,22.0
3,0,akiec,0.8571428571428571,0.7346938775510204,0.7912087912087912,49.0
3,1,bcc,0.9,0.8181818181818182,0.8571428571428571,77.0
3,2,bkl,0.8074534161490683,0.7878787878787878,0.7975460122699386,165.0
3,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
3,4,mel,0.7985074626865671,0.6407185628742516,0.7109634551495017,167.0
3,5,nv,0.9183098591549296,0.9721669980119284,0.9444712699179141,1006.0
3,6,vasc,1.0,0.8181818181818182,0.9,22.0
4,0,akiec,0.8372093023255814,0.7346938775510204,0.782608695652174,49.0
4,1,bcc,0.8985507246376812,0.8051948051948052,0.8493150684931506,77.0
4,2,bkl,0.7914110429447853,0.7818181818181819,0.7865853658536586,165.0
4,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
4,4,mel,0.7985074626865671,0.6407185628742516,0.7109634551495017,167.0
4,5,nv,0.9190968955785512,0.9711729622266402,0.944417593040116,1006.0
4,6,vasc,1.0,0.8181818181818182,0.9,22.0
5,0,akiec,0.8181818181818182,0.7346938775510204,0.7741935483870968,49.0
5,1,bcc,0.8985507246376812,0.8051948051948052,0.8493150684931506,77.0
5,2,bkl,0.810126582278481,0.7757575757575758,0.7925696594427245,165.0
5,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
5,4,mel,0.781021897810219,0.6407185628742516,0.7039473684210527,167.0
5,5,nv,0.918233082706767,0.9711729622266402,0.9439613526570049,1006.0
5,6,vasc,1.0,0.8181818181818182,0.9,22.0
6,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
6,1,bcc,0.8985507246376812,0.8051948051948052,0.8493150684931506,77.0
6,2,bkl,0.8152866242038217,0.7757575757575758,0.7950310559006211,165.0
6,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
6,4,mel,0.7762237762237763,0.6646706586826348,0.7161290322580646,167.0
6,5,nv,0.9207547169811321,0.9701789264413518,0.9448209099709584,1006.0
6,6,vasc,1.0,0.8181818181818182,0.9,22.0
7,0,akiec,0.8571428571428571,0.7346938775510204,0.7912087912087912,49.0
7,1,bcc,0.9014084507042254,0.8311688311688312,0.8648648648648649,77.0
7,2,bkl,0.8152866242038217,0.7757575757575758,0.7950310559006211,165.0
7,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
7,4,mel,0.7910447761194029,0.6347305389221557,0.7043189368770764,167.0
7,5,nv,0.9157303370786517,0.9721669980119284,0.9431051108968177,1006.0
7,6,vasc,1.0,0.8181818181818182,0.9,22.0
8,0,akiec,0.8333333333333334,0.7142857142857143,0.7692307692307693,49.0
8,1,bcc,0.9014084507042254,0.8311688311688312,0.8648648648648649,77.0
8,2,bkl,0.8205128205128205,0.7757575757575758,0.7975077881619937,165.0
8,3,df,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
8,4,mel,0.781021897810219,0.6407185628742516,0.7039473684210527,167.0
8,5,nv,0.9183098591549296,0.9721669980119284,0.9444712699179141,1006.0
8,6,vasc,1.0,0.8181818181818182,0.9,22.0
9,0,akiec,0.8372093023255814,0.7346938775510204,0.782608695652174,49.0
9,1,bcc,0.8985507246376812,0.8051948051948052,0.8493150684931506,77.0
9,2,bkl,0.810126582278481,0.7757575757575758,0.7925696594427245,165.0
9,3,df,0.9230769230769231,0.7058823529411765,0.8,17.0
9,4,mel,0.7794117647058824,0.6347305389221557,0.6996699669966997,167.0
9,5,nv,0.9174484052532833,0.9721669980119284,0.944015444015444,1006.0
9,6,vasc,1.0,0.8181818181818182,0.9,22.0
10,0,akiec,0.8536585365853658,0.7142857142857143,0.7777777777777778,49.0
10,1,bcc,0.8857142857142857,0.8051948051948052,0.8435374149659864,77.0
10,2,bkl,0.8136645962732919,0.793939393939394,0.803680981595092,165.0
10,3,df,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
10,4,mel,0.8,0.6227544910179641,0.7003367003367004,167.0
10,5,nv,0.9158091674462114,0.9731610337972167,0.9436144578313252,1006.0
10,6,vasc,1.0,0.8181818181818182,0.9,22.0
