model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8962075848303394,0.8387086705149063,0.8356277436455525,0.835716861649207
2,0.895542248835662,0.8423341660548994,0.8327122917505088,0.8364525830515284
3,0.8948769128409847,0.8390432554373791,0.8278074975752759,0.8325945132151221
4,0.895542248835662,0.8383752715511913,0.8352200475832129,0.835496564761948
5,0.8948769128409847,0.8384166394309789,0.8270940706943034,0.831854193256358
6,0.895542248835662,0.8369917805165789,0.8347619427797516,0.8344813180046586
7,0.89354624085163,0.836816165310231,0.833346440739427,0.8339216309239771
8,0.8948769128409847,0.8380340884935581,0.8332733446466528,0.8346901639104605
9,0.8968729208250167,0.838591491137743,0.83199644639846,0.8341636185765013
10,0.895542248835662,0.8390915467136711,0.8354753696607241,0.8361230589843264
