model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8855622089155023,0.824837355480864,0.8351085153117622,0.8287399402854281
2,0.8855622089155023,0.8236534561304442,0.8317226401342489,0.8266305740323574
3,0.8862275449101796,0.8259671379557803,0.8360856835365265,0.8298584772953689
4,0.886892880904857,0.8268893763207356,0.8357695838452492,0.8302027235131509
5,0.8855622089155023,0.8244876447073147,0.8338836585224552,0.8280681425284797
6,0.8855622089155023,0.8263510586880279,0.8335066002133363,0.8289176104111301
7,0.8862275449101796,0.8249298252639561,0.8346380920292926,0.8286312952580376
8,0.8855622089155023,0.8272194803111602,0.835556251242579,0.8302945531265207
9,0.8882235528942116,0.828402427987805,0.8365116988730785,0.8313582004345124
10,0.8875582168995343,0.8242820295833002,0.8322600228297644,0.8271885348934059
