model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.75,0.8571428571428571,0.8,49.0
1,1,bcc,0.7976190476190477,0.8701298701298701,0.8322981366459627,77.0
1,2,bkl,0.7485380116959064,0.7757575757575758,0.7619047619047619,165.0
1,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
1,4,mel,0.7109826589595376,0.7365269461077845,0.7235294117647059,167.0
1,5,nv,0.9542217700915565,0.9324055666003976,0.9431875314228255,1006.0
1,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
2,0,akiec,0.7407407407407407,0.8163265306122449,0.7766990291262136,49.0
2,1,bcc,0.7976190476190477,0.8701298701298701,0.8322981366459627,77.0
2,2,bkl,0.7386363636363636,0.7878787878787878,0.7624633431085044,165.0
2,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
2,4,mel,0.7209302325581395,0.7425149700598802,0.7315634218289085,167.0
2,5,nv,0.9551478083588175,0.9314115308151093,0.9431303472571716,1006.0
2,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
3,0,akiec,0.7592592592592593,0.8367346938775511,0.7961165048543689,49.0
3,1,bcc,0.788235294117647,0.8701298701298701,0.8271604938271605,77.0
3,2,bkl,0.7415730337078652,0.8,0.7696793002915452,165.0
3,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
3,4,mel,0.7251461988304093,0.7425149700598802,0.7337278106508875,167.0
3,5,nv,0.9550561797752809,0.9294234592445328,0.9420654911838791,1006.0
3,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
4,0,akiec,0.7454545454545455,0.8367346938775511,0.7884615384615384,49.0
4,1,bcc,0.8095238095238095,0.8831168831168831,0.84472049689441,77.0
4,2,bkl,0.7413793103448276,0.7818181818181819,0.7610619469026548,165.0
4,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
4,4,mel,0.7251461988304093,0.7425149700598802,0.7337278106508875,167.0
4,5,nv,0.9542217700915565,0.9324055666003976,0.9431875314228255,1006.0
4,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
5,0,akiec,0.7547169811320755,0.8163265306122449,0.7843137254901961,49.0
5,1,bcc,0.788235294117647,0.8701298701298701,0.8271604938271605,77.0
5,2,bkl,0.7374301675977654,0.8,0.7674418604651163,165.0
5,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
5,4,mel,0.7225433526011561,0.7485029940119761,0.7352941176470589,167.0
5,5,nv,0.9559877175025588,0.9284294234592445,0.9420070600100857,1006.0
5,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
6,0,akiec,0.7592592592592593,0.8367346938775511,0.7961165048543689,49.0
6,1,bcc,0.8048780487804879,0.8571428571428571,0.8301886792452831,77.0
6,2,bkl,0.7359550561797753,0.793939393939394,0.7638483965014577,165.0
6,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
6,4,mel,0.7167630057803468,0.7425149700598802,0.7294117647058823,167.0
6,5,nv,0.9551020408163265,0.9304174950298211,0.9425981873111783,1006.0
6,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
7,0,akiec,0.7454545454545455,0.8367346938775511,0.7884615384615384,49.0
7,1,bcc,0.7976190476190477,0.8701298701298701,0.8322981366459627,77.0
7,2,bkl,0.7428571428571429,0.7878787878787878,0.7647058823529411,165.0
7,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
7,4,mel,0.7209302325581395,0.7425149700598802,0.7315634218289085,167.0
7,5,nv,0.9551478083588175,0.9314115308151093,0.9431303472571716,1006.0
7,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
8,0,akiec,0.7636363636363637,0.8571428571428571,0.8076923076923077,49.0
8,1,bcc,0.8048780487804879,0.8571428571428571,0.8301886792452831,77.0
8,2,bkl,0.7344632768361582,0.7878787878787878,0.7602339181286549,165.0
8,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
8,4,mel,0.7209302325581395,0.7425149700598802,0.7315634218289085,167.0
8,5,nv,0.9541284403669725,0.9304174950298211,0.9421238047307499,1006.0
8,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
9,0,akiec,0.7454545454545455,0.8367346938775511,0.7884615384615384,49.0
9,1,bcc,0.8072289156626506,0.8701298701298701,0.8375,77.0
9,2,bkl,0.75,0.8,0.7741935483870968,165.0
9,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
9,4,mel,0.7294117647058823,0.7425149700598802,0.7359050445103857,167.0
9,5,nv,0.9542217700915565,0.9324055666003976,0.9431875314228255,1006.0
9,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
10,0,akiec,0.7222222222222222,0.7959183673469388,0.7572815533980582,49.0
10,1,bcc,0.7976190476190477,0.8701298701298701,0.8322981366459627,77.0
10,2,bkl,0.7471910112359551,0.806060606060606,0.7755102040816326,165.0
10,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
10,4,mel,0.7352941176470589,0.7485029940119761,0.7418397626112759,167.0
10,5,nv,0.9551478083588175,0.9314115308151093,0.9431303472571716,1006.0
10,6,vasc,1.0,0.9090909090909091,0.9523809523809523,22.0
